Key,Simplified,Traditional,Pinyin,Meaning,PartOfSpeech,UsageNotes,SentenceSimplified,SentenceTraditional,SentencePinyin,SentenceMeaning
1,动脑子,,dòng nǎozi,use your brain,verb; phrase,,,,,
2,转机,轉機,zhuǎnjī,transit,noun,,,,,
3,商场,商場,shāngchǎng,shopping centre,noun,,,,,
4,热闹,熱鬧,rènao,"lively, bustling",adjective,,,,,
5,行程,行程,xíngchéng,itinerary,noun,,,,,
6,活鱼,活魚,huóyú,live fish,noun,,,,,
7,台阶,臺階,táijiē,steps,noun,,,,,
8,陡,陡,dǒng,steep,adjective,,,,,
9,平,平,píng,flat,adjective,,,,,
10,排队,排隊,pái duì,queue up,verb; phrase,,,,,
11,习俗,習俗,xísú,custom,noun,,,,,
12,原谅,原諒,yuánliàng,forgive,verb,,,,,
13,最后,最後,zuìhòu,at the end; eventually,adverb; phrase,,,,,
14,基本,基本,jīběn,basic,adjective,,,,,
15,展览,展覽,zhǎnlǎn,exhibition,noun,,,,,
16,航班,航班,hángbān,flight,noun,,,,,
17,鼠标,鼠標,shǔbiǎo,mouse (computer),noun,,,,,
18,自律,自律,zìlǜ,self discipline,noun,,,,,
19,天赋,天賦,tiānfù,talent,noun,,,,,
20,练习,練習,liànxí,to practice,verb,,,,,
21,联系,聯係,liánxì,to contact,verb,,,,,
22,售货员,售貨員,shòuhuòyuán,salesperson,noun,,,,,
23,耐心,耐心,nàixīn,patient,adjective,,,,,
24,戒烟,戒煙,jièyān,to give up smoking,,,,,,
25,主意,主意,zhǔyi,"idea, plan; pay attention",noun; verb,,,,,
26,劝,勸,quàn,to advise; to urge; to try to persuade; to exhort; to console; to soothe,,,,,,
27,方言,方言,fāngyán,"the first Chinese dialect dictionary, edited by Yang Xiong 揚雄|扬雄[Yang2 Xiong2] in 1st century, containing over 9000 characters",,,,,,
28,团圆饭,,,reunion dinner,,(translation source: LLM translation fallback),,,,
29,艺术,藝術,yìshù,art,noun,,,,,
30,学医,學醫,xué yī,to study medicine,,,,,,
31,不管,不管,bùguǎn,no matter,conjunction,,,,,
32,一会儿,一會兒,yīhuǐr,a moment; a while; in a moment; now...now...; also pr. [yi1 hui3 r5],,,,,,
33,歌剧院,歌劇院,gē jù yuàn,opera house,,,,,,
34,坚持,堅持,jiānchí,perservere,verb,,,,,
35,支持,支持,zhīchí,support,verb,,,,,
36,一把勺子,,,a pair of chopsticks,phrase,,,,,
37,确定,確定,quèdìng,confirm,verb,,,,,
38,保证,保證,bǎozhèng,ensure,verb,,,,,
39,拿,㧱,ná,take/grab,verb,,,,,
40,带,帶,dài,to bring with someone,verb,,,,,
41,杂志,雜誌,zázhì,magazine,noun,,,,,
42,报纸,報紙,bàozhǐ,newspaper,noun,,,,,
43,书名,書名,shūmíng,name of the book,noun,,,,,
44,项目,項目,xiàngmù,project,noun,,,,,
45,设计,設計,shèjì,design,noun; verb,,,,,
46,暂时,暫時,zànshí,temporary,adjective,,,,,
47,积极的态度,,,positive attitude,phrase,,,,,
48,激烈,激烈,jīliè,intense,adjective,,,,,
49,了解,了解,liǎojiě,to understand or know deeply,verb,,,,,
50,发现,發現,fāxiàn,"to discover, to realise",verb,,,,,
51,周围,周圍,zhōuwéi,surrounding,adjective,,,,,
52,儿子,兒子,érzi,son,noun,,,,,
53,女儿,女兒,nǚ'ér,daughter,noun,,,,,
54,上火车,,shàng huǒchē,get on the train,verb; phrase,,,,,
55,坐火车,,zuò huǒchē,ride the train,verb; phrase,,,,,
56,改变主意,,,change your mind,phrase,,,,,
57,试驾,,,test drive,,(translation source: LLM translation fallback),,,,
58,混动车,,hùndòngchē,hybrid,noun,,,,,
59,全电动,,quándiàndòng,fully electric,noun,,,,,
60,达到目标,,dá dào mùbiāo,achieve goal,verb; phrase,,,,,
61,内容,內容,nèiróng,content,noun,,,,,
62,任务,任務,rènwù,task,noun,,,,,
63,责任,責任,zérèn,responsibility,noun,,,,,
64,职位,職位,zhíwèi,position,noun,,,,,
65,运气,運氣,yùnqì,luck,noun,,,,,
66,行动,行動,xíngdòng,take action,verb,,,,,
67,凌晨,凌晨,língchén,early in the morning,noun,,,,,
68,互联网,互聯網,hùliánwǎng,internet,noun,,,,,
69,调查,調查,diàochá,investigation,noun,,,,,
70,检查,檢查,jiǎnchá,inspection,noun,,,,,
71,记录,記錄,jìlù,record,noun,,,,,
72,辞职,辭職,cízhí,resign,verb,,,,,
73,和sth 相反,,hé sth xiāngfǎn,opposite of sth,phrase,,,,,
74,一节课,,yī jié kè,a class,noun; phrase,,,,,
75,举行,舉行,jǔxíng,to hold,verb,,,,,
76,点菜,點菜,diǎncài,order a meal,verb; phrase,,,,,
77,下单,下單,xià dān,place order,verb; phrase,,,,,
78,再试一下,,zài shì yīxià,try again,phrase,,,,,
79,大概,大概,dàgài,approximately,adverb,,,,,
80,有趣,有趣,yǒuqù,fun/interesting,adjective,,,,,
81,有意思,有意思,yǒu yìsi,interesting,adjective,,,,,
82,有意义,有意義,yǒu yìyì,meaningful,adjective,,,,,
83,一共,一共,yīgòng,in total; altogether,,,,,,
84,差不多,差不多,chàbùduō,almost; nearly; more or less; about the same; good enough; not bad,,,,,,
85,有效,有效,yǒuxiào,effective,adjective,,,,,
86,反思,反思,fǎn sī,reflect,verb,,,,,
87,意识到,意識到,yìshí dào,realise,verb,,,,,
88,减少,減少,jiǎnshǎo,decrease,verb,,,,,
89,降低,降低,jiàngdī,decrease,verb,,,,,
90,贬值,貶值,biǎnzhí,to become devaluated; to devaluate; to depreciate,,,,,,
